dc_gr,utility_type,min_max_gr,goods_num,max_min_gr,familiar_share_gr,sb_gr
0.779661736237136,random,0.559323472474272,3,1.0,1.0,0.9732069022165485
0.6935451659794125,vex,0.3870903319588249,3,1.0,1.0,0.8859428765773512
0.8099987618074317,cav,0.6199975236148635,3,1.0,0.6199975236148635,0.6907126576875406
0.9247382103195099,random,0.8494764206390196,4,1.0,0.8494764206390196,0.8494764206390196
0.8210281588353857,vex,0.6420563176707714,4,1.0,1.0,1.0
0.8682037823117739,cav,0.7364075646235478,4,1.0,0.7364075646235478,0.7364075646235478
0.886467795463089,random,0.7729355909261781,5,1.0,1.0,1.0
0.7831738038309747,vex,0.5663476076619492,5,1.0,1.0,0.977873189315902
0.8487595756629559,cav,0.6975191513259117,5,1.0,0.6975191513259117,0.7129530255358327
0.929894552644927,random,0.8597891052898542,6,1.0,1.0,1.0
0.7146121783551257,vex,0.42922435671025133,6,1.0,1.0,0.8528929628080444
0.8183140775934281,cav,0.6366281551868562,6,1.0,0.6366281551868562,0.7302806368893752
0.8595166972140429,random,0.7190333944280859,7,1.0,0.7190333944280859,0.7584440054996757
0.7871374267321147,vex,0.5742748534642295,7,1.0,1.0,0.9451894565996664
0.8506987312490776,cav,0.7013974624981553,7,1.0,0.7013974624981553,0.7398414385572943
0.8862424299178022,random,0.7724848598356043,8,1.0,0.7724848598356043,0.7854762628618494
0.7796450187563773,vex,0.5592900375127545,8,1.0,1.0,0.9327184928217054
0.8470511157823873,cav,0.6941022315647747,8,1.0,0.6941022315647747,0.7408024758402705
0.8798805031003808,random,0.7597610062007617,9,1.0,0.7597610062007617,0.7597610062007617
0.7378092851272832,vex,0.4756185702545664,9,1.0,1.0,0.9333173433891677
0.8280018965355005,cav,0.656003793071001,9,1.0,0.656003793071001,0.6997478687397579
0.889066813485023,random,0.7781336269700463,10,1.0,1.0,0.9542059398989173
0.7407814982055267,vex,0.48156299641105343,10,1.0,1.0,0.9300352227826645
0.8292859689392515,cav,0.6585719378785031,10,1.0,0.6585719378785031,0.7046487767937615
0.892858898064781,random,0.7857177961295622,11,1.0,0.9341999268036525,0.9341999268036525
0.8143615952836539,vex,0.6287231905673079,11,1.0,1.0,0.9623251345475219
0.8646236825129813,cav,0.7292473650259628,11,1.0,0.7292473650259628,0.75672166138489
0.8489486670756076,random,0.697897334151215,12,1.0,0.7716815653222795,0.7607876222353247
0.6354608898305548,vex,0.2709217796611097,12,1.0,1.0,0.8269007432293148
0.7891714175325178,cav,0.5783428350650356,12,1.0,0.5783428350650356,0.6784535499734441
0.9076970125855891,random,0.8153940251711781,13,1.0,0.9246573719111019,0.9045015212271295
0.6952651474507672,vex,0.3905302949015344,13,1.0,1.0,0.8865636002255596
0.8106613305091135,cav,0.6213226610182272,13,1.0,0.6213226610182272,0.69180326678241
0.8940758652555592,random,0.7881517305111183,14,1.0,0.9620024165365412,0.9620024165365412
0.7359941224170715,vex,0.4719882448341428,14,1.0,1.0,0.8967430050276584
0.8272226135104096,cav,0.6544452270208193,14,1.0,0.6544452270208193,0.7220212745369811
0.9546280984673065,random,0.9092561969346129,15,1.0,0.9888385468313368,0.9715633556268535
