utility_type,mix_param,dc_gr_sum,goods_num,scale_param,sb_gr_sum,max,min,familiar_share_gr_sum
random-cav,0.8,0.676038769399071,19,5,0.6039063641051996,1.0,0.19319098407941074,0.5965954920397054
cav-vex,0.8,0.5259264354448038,19,5,0.5931918320964035,1.0,0.1931909840794108,0.5965954920397054
random-cav,0.0,0.8735186831023504,20,1,0.8142019277420807,1.0,0.7191690290073487,0.781484233838704
cav-vex,0.0,0.9349438332804869,20,1,0.9215524388900327,1.0,0.8454111191871632,0.9261492696302662
random-cav,0.8,0.9017193017160948,20,1,0.8261964812363033,1.0,0.8086432424983652,0.8111712126879198
cav-vex,0.8,0.9792199095384292,20,1,0.9759345370568874,1.0,0.9574760844809648,0.9604693340025968
random-cav,0.0,0.7262929247386605,20,5,0.6442238447341726,1.0,0.19455525888033792,0.5839739892506463
cav-vex,0.0,0.48426232371195477,20,5,0.5494192712349181,1.0,0.19987334501135265,0.5999366725056763
random-cav,0.8,0.6710766091643859,20,5,0.6068318445887232,1.0,0.19430569078666493,0.5971528453933325
cav-vex,0.8,0.537255571941534,20,5,0.5943445774824042,1.0,0.1943056907866649,0.5971528453933325
random-cav,0.0,0.9178820078050492,3,1,0.9121826328549992,1.0,0.7719020855089695,0.9498129728556141
cav-vex,0.0,0.9190173563638027,3,1,0.8728647260197958,1.0,0.8245866667036188,0.839600845463798
random-cav,0.8,0.8119453852462029,3,1,0.6896533801073126,1.0,0.6318886490922184,0.6716750070727165
cav-vex,0.8,0.9644036195960191,3,1,0.9521846824851022,1.0,0.8881559563602663,0.9440779781801332
random-cav,0.0,0.6235063701626745,3,5,0.5987759903387785,1.0,0.19755198067755692,0.5987759903387785
cav-vex,0.0,0.5954517641323062,3,5,0.6164260476825556,1.0,0.19755198067755692,0.5987759903387785
random-cav,0.8,0.6292726306067224,3,5,0.6064405314890947,1.0,0.21288106297818946,0.6064405314890947
cav-vex,0.8,0.5869572526244304,3,5,0.6064405314890947,1.0,0.21288106297818946,0.6064405314890947
random-cav,0.0,0.8562830483825787,4,1,0.748026326532565,1.0,0.6732571767142014,0.745903013881173
cav-vex,0.0,0.8830719507373391,4,1,0.9340848678536777,1.0,0.8225009122572238,0.9112504561286118
random-cav,0.8,0.9511472989714357,4,1,0.9074033390098335,1.0,0.9073546784839898,0.9074033390098335
cav-vex,0.8,0.9720398724418458,4,1,0.9775821285997428,1.0,0.9572877894187316,0.9775821285997428
random-cav,0.0,0.7999584543445903,4,5,0.7146069162617429,1.0,0.37306032120393134,0.6525685598581918
cav-vex,0.0,0.5430341837008481,4,5,0.6335638912985468,1.0,0.32737336687638535,0.7001231667815982
random-cav,0.8,0.6322256744014773,4,5,0.5926391584632221,1.0,0.18527831692644428,0.5926391584632221
cav-vex,0.8,0.5537627528589572,4,5,0.5926391584632221,1.0,0.1852783169264443,0.5926391584632221
random-cav,0.0,0.8783883761943886,5,1,0.8362728966498826,1.0,0.6841647616102172,0.7889882041452349
cav-vex,0.0,0.8096334662036384,5,1,0.8562511808343567,1.0,0.7296804156847214,0.8827231185403018
random-cav,0.8,0.7930391922871097,5,1,0.7799823334389004,1.0,0.6618444498147191,0.7365461175343347
cav-vex,0.8,0.9210258363340287,5,1,0.9362321562388237,1.0,0.8114510843161854,0.9030386911749857
random-cav,0.0,0.6968350897138418,5,5,0.6097205673863003,1.0,0.20169233717607057,0.6008461685880353
cav-vex,0.0,0.5332719388097695,5,5,0.6057116987012453,1.0,0.20169233717607052,0.6008461685880353
random-cav,0.8,0.6325820437304547,5,5,0.6066982971063015,1.0,0.21339659421260293,0.6066982971063015
cav-vex,0.8,0.5859761035837011,5,5,0.6066982971063014,1.0,0.21339659421260287,0.6066982971063014
random-cav,0.0,0.8672272152210511,6,1,0.858944543807392,1.0,0.6831093791254822,0.8768471869458541
cav-vex,0.0,0.8534351641256068,6,1,0.849824932533779,1.0,0.7040023702707373,0.819035565819156
random-cav,0.8,0.9117165050382425,6,1,0.8205306917836015,1.0,0.7662129742730142,0.7865006698964034
cav-vex,0.8,0.9773465994058634,6,1,0.980353776530669,1.0,0.930066995971031,0.9546931988117269
random-cav,0.0,0.701514187567552,6,5,0.5971413151134902,1.0,0.1809423525751583,0.5904711762875792
cav-vex,0.0,0.540962403797031,6,5,0.6063234385297636,1.0,0.18094235257515823,0.5904711762875791
random-cav,0.8,0.7319729120095508,6,5,0.6324122314844871,1.0,0.20576963466345502,0.6028848173317275
cav-vex,0.8,0.5237625502409626,6,5,0.5936335748104824,1.0,0.20576963466345505,0.6028848173317275
random-cav,0.0,0.8392941718049091,7,1,0.7734986814570527,1.0,0.6028222981966911,0.7719383916674727
cav-vex,0.0,0.8133014861053907,7,1,0.8252748889238855,1.0,0.6405817173360879,0.820290858668044
random-cav,0.8,0.8994233272461118,7,1,0.8458428062735291,1.0,0.8071753496645593,0.8393567937630431
cav-vex,0.8,0.9677993594237585,7,1,0.9638421241517853,1.0,0.9261502417210138,0.9630751208605068
random-cav,0.0,0.6449957046884164,7,5,0.588000633766313,1.0,0.19984502377555738,0.5999225118877787
cav-vex,0.0,0.5583108644145519,7,5,0.6118443900092444,1.0,0.19984502377555738,0.5999225118877787
random-cav,0.8,0.7207286697404547,7,5,0.6385383088826893,1.0,0.21363167696919477,0.6068158384845974
cav-vex,0.8,0.5248655770143931,7,5,0.5834534751436378,1.0,0.21363167696919474,0.6068158384845974
random-cav,0.0,0.8637453046099349,8,1,0.8217025335293174,1.0,0.7146184138874078,0.8012329224501494
cav-vex,0.0,0.8874803758879666,8,1,0.8793890527793229,1.0,0.804074367927925,0.9024443777869261
random-cav,0.8,0.8772898309580441,8,1,0.796520446348043,1.0,0.7891659086835601,0.7898325034980048
cav-vex,0.8,0.9722457031270988,8,1,0.9732092929841386,1.0,0.9567013492843905,0.957509458392232
random-cav,0.0,0.7682628985991036,8,5,0.6917814305186151,1.0,0.34180336461476823,0.667334498518111
cav-vex,0.0,0.5756651320928468,8,5,0.6475071203237224,1.0,0.3378152478025719,0.6721297189938783
random-cav,0.8,0.6999409165612872,8,5,0.6161128134256875,1.0,0.21426546164833044,0.6071327308241652
cav-vex,0.8,0.5439194498441805,8,5,0.6034689848650855,1.0,0.2142654616483305,0.6071327308241653
random-cav,0.0,0.8425412253868086,9,1,0.7396840262266339,1.0,0.6535718827407001,0.7194207673249237
cav-vex,0.0,0.9092918739451479,9,1,0.9054546744302097,1.0,0.824855788470047,0.907961924226414
random-cav,0.8,0.9236568660438104,9,1,0.8784231453947046,1.0,0.8487161348597945,0.8663581649446699
cav-vex,0.8,0.9746412335707244,9,1,0.9584727444464967,1.0,0.9334598209780148,0.9528633948801856
random-cav,0.0,0.7665917001726649,9,5,0.6617891374545876,1.0,0.21962726377913203,0.6049476374940994
cav-vex,0.0,0.4666170251504226,9,5,0.553492722504892,1.0,0.21504538307526977,0.6108928397631356
random-cav,0.8,0.6989753482330406,9,5,0.6286950063227078,1.0,0.2105126702230262,0.6052563351115131
cav-vex,0.8,0.5369604701064683,9,5,0.5933950718251596,1.0,0.21051267022302622,0.6052563351115131
random-cav,0.0,0.8558709126698133,10,1,0.8017399014215822,1.0,0.6900198708535398,0.7353150220377955
cav-vex,0.0,0.8901634205248846,10,1,0.8861755483123506,1.0,0.8178808772997609,0.9419746850117323
random-cav,0.8,0.9015457865144784,10,1,0.8568561906377019,1.0,0.8290997736831269,0.849966039759666
cav-vex,0.8,0.9627915757379211,10,1,0.9706853401185979,1.0,0.9380185606307758,0.9616260268153396
random-cav,0.0,0.7177596396278425,10,5,0.6411851425699578,1.0,0.19472097167620736,0.5930464388712126
cav-vex,0.0,0.5009536560160534,10,5,0.5552586929102337,1.0,0.19641566447940192,0.598207832239701
random-cav,0.8,0.6973583482379333,10,5,0.6093854420099662,1.0,0.19129597024550135,0.5956479851227506
cav-vex,0.8,0.5192062643650033,10,5,0.58893902630608,1.0,0.1912959702455013,0.5956479851227506
random-cav,0.0,0.8469146654079901,11,1,0.8107188820870005,1.0,0.6863717862272127,0.7815379931636821
cav-vex,0.0,0.8630405473586108,11,1,0.8733305068324213,1.0,0.7676391024034306,0.8914500387638177
random-cav,0.8,0.8677238074509632,11,1,0.7439953754426875,1.0,0.7168265332701972,0.7397753279026892
cav-vex,0.8,0.9468606240130415,11,1,0.9248048481090253,1.0,0.8821257197566733,0.910366474030071
random-cav,0.0,0.6735914947682229,11,5,0.6086388168615172,1.0,0.1657124443030306,0.5783782759345071
cav-vex,0.0,0.5008916182956672,11,5,0.5592290276337261,1.0,0.16720995870710775,0.5836049793535539
random-cav,0.8,0.6926381129148683,11,5,0.6235635429585257,1.0,0.21605128553692757,0.6080256427684638
cav-vex,0.8,0.5469952060135231,11,5,0.5973057372017833,1.0,0.21605128553692754,0.6080256427684638
random-cav,0.0,0.8713985625614423,12,1,0.7900828295928376,1.0,0.7475875231274535,0.7793007721097441
cav-vex,0.0,0.9697604569113047,12,1,0.9666470801994886,1.0,0.9040294737310155,0.9423791129382404
random-cav,0.8,0.9007430907256165,12,1,0.8445981709052236,1.0,0.8302616362159173,0.8394721761474729
cav-vex,0.8,0.9791106812392953,12,1,0.9591869793040366,1.0,0.9479862209610697,0.9585027431775143
random-cav,0.0,0.713698380205994,12,5,0.6099111641970705,1.0,0.18620921268548846,0.5836178539209261
cav-vex,0.0,0.5129280990072924,12,5,0.5798446199823717,1.0,0.1898105847343185,0.5949052923671593
random-cav,0.8,0.6853940864466673,12,5,0.6164889497530386,1.0,0.20398261557215652,0.5961997970514542
cav-vex,0.8,0.5354626571071861,12,5,0.5872387808116832,1.0,0.2063730389125547,0.6031865194562774
random-cav,0.0,0.7679340583555403,13,1,0.7868342342847034,1.0,0.5234309880700401,0.7425985893716719
cav-vex,0.0,0.7673926670850189,13,1,0.7391120027046575,1.0,0.5442393308747959,0.772119665437398
random-cav,0.8,0.8840315781636476,13,1,0.8307881555141082,1.0,0.8104761963755361,0.8218262199753208
cav-vex,0.8,0.9865845096446032,13,1,0.9940366333242036,1.0,0.9617293838931463,0.9751975785824026
random-cav,0.0,0.7097128246205228,13,5,0.6082532449590148,1.0,0.14702193440764594,0.5725838726126129
cav-vex,0.0,0.4630280123721351,13,5,0.5431145624263655,1.0,0.14729504729095688,0.5736475236454784
random-cav,0.8,0.7157679597961181,13,5,0.6101870958031188,1.0,0.18538661978131332,0.5882038995306355
cav-vex,0.8,0.5060290841785001,13,5,0.5818511136327247,1.0,0.18706625414000633,0.593533127070003
random-cav,0.0,0.8244654202936817,14,1,0.7419467006508234,1.0,0.6471649267820037,0.6916361666727497
cav-vex,0.0,0.9398020908943516,14,1,0.9330012973674989,1.0,0.8756470324728972,0.9361352459565362
random-cav,0.8,0.9170834575123116,14,1,0.881180445425824,1.0,0.8484984955456606,0.8687854895738203
cav-vex,0.8,0.9659892942878405,14,1,0.9601291956176704,1.0,0.9223114609550482,0.9443632703556829
random-cav,0.0,0.6561081379144171,14,5,0.5882553110167408,1.0,0.1819378882057842,0.590968944102892
cav-vex,0.0,0.5363671076683332,14,5,0.5941014271401028,1.0,0.18193788820578422,0.5909689441028921
random-cav,0.8,0.7026610187391918,14,5,0.6274313992142817,1.0,0.21390036435197385,0.606950182175987
cav-vex,0.8,0.5380061429171981,14,5,0.589647609680732,1.0,0.21390036435197385,0.606950182175987
random-cav,0.0,0.8609193033301978,15,1,0.7830519800507539,1.0,0.7316986996672873,0.7343177023016696
cav-vex,0.0,0.9772040104909839,15,1,0.9866402809758713,1.0,0.9487126909751891,0.9964460955508934
random-cav,0.8,0.8880808486074488,15,1,0.8426694149069895,1.0,0.8170175923434737,0.8284776416846132
cav-vex,0.8,0.9836368207853855,15,1,0.9844219692895285,1.0,0.9551405584176537,0.9685380152530609
random-cav,0.0,0.6903057205099886,15,5,0.609737496923213,1.0,0.1958509379211498,0.5946527751719745
cav-vex,0.0,0.5232092573412955,15,5,0.5864278464221042,1.0,0.19714130416438055,0.5985706520821903
random-cav,0.8,0.6835873261998302,15,5,0.6071363232160624,1.0,0.20281174530161453,0.598498423027882
cav-vex,0.8,0.5452645120777482,15,5,0.5961650838952204,1.0,0.20399797296073896,0.6019989864803695
random-cav,0.0,0.8880546471153701,16,1,0.807898375811434,1.0,0.7691634446958777,0.7776159194776296
cav-vex,0.0,0.9730608172229939,16,1,0.9726570916537598,1.0,0.9382258758366353,0.9461216344459877
random-cav,0.8,0.9052785864834113,16,1,0.8647126475181224,1.0,0.8480822378979326,0.8593037756406469
cav-vex,0.8,0.9755278681064898,16,1,0.9795168321823963,1.0,0.9502887918899485,0.9573011390746823
random-cav,0.0,0.7015917279627965,16,5,0.6089026595719921,1.0,0.13805629549763324,0.5690281477488166
cav-vex,0.0,0.4538938871138451,16,5,0.5391748021446774,1.0,0.13805629549763324,0.5690281477488166
random-cav,0.8,0.6918783523324563,16,5,0.6077725624038067,1.0,0.19110040762509709,0.5955502038125485
cav-vex,0.8,0.5249309500431606,16,5,0.595537488888436,1.0,0.19110040762509709,0.5955502038125486
random-cav,0.0,0.8972540625973207,17,1,0.8191925956102114,1.0,0.7909089709564245,0.7958770763876508
cav-vex,0.0,0.9542743135544056,17,1,0.9761108377799003,1.0,0.9120456394316738,0.993796422149981
